time_mult,mem_div,n_through,e_through,time,batch_size
3413,1000,487.57142857142856,None,1.011,1
3418,1000,488.2857142857143,None,0.975,1
3422,1000,488.85714285714283,None,0.963,1
3437,1000,491.0,None,0.995,1
3500,1000,500.0,None,1.01,1
3518,1000,502.57142857142856,None,0.963,1
3553,1000,507.57142857142856,None,0.966,1
3611,1000,515.8571428571429,None,1.023,1
3625,1000,517.8571428571429,None,0.98,1
3721,1000,531.5714285714286,None,0.985,1
3809,1000,544.1428571428571,None,1.001,1
3868,1000,552.5714285714286,None,1.013,1
3876,1000,553.7142857142857,None,0.985,1
3911,1000,558.7142857142857,None,1.059,1
3947,1000,563.8571428571429,None,1.025,1
3957,1000,565.2857142857143,None,1.011,1
3992,1000,570.2857142857143,None,1.032,1
4003,1000,571.8571428571429,None,1.053,1
4047,1000,578.1428571428571,None,1.024,1
4050,1000,578.5714285714286,None,1.047,1
4083,1000,583.2857142857143,None,1.03,1
4096,1000,585.1428571428571,None,1.045,1
4140,1000,591.4285714285714,None,0.982,1
4142,1000,591.7142857142857,None,1.034,1
4188,1000,598.2857142857143,None,0.996,1
4254,1000,607.7142857142857,None,1.021,1
4266,1000,609.4285714285714,None,1.027,1
4486,1000,640.8571428571429,None,1.022,1
4488,1000,641.1428571428571,None,1.039,1
4489,1000,641.2857142857143,None,1.048,1
4535,1000,647.8571428571429,None,1.027,1
4583,1000,654.7142857142857,None,1.015,1
4717,1000,673.8571428571429,None,0.997,1
4733,1000,676.1428571428571,None,0.997,1
4773,1000,681.8571428571429,None,1.024,1
4799,1000,685.5714285714286,None,0.994,1
4853,1000,693.2857142857143,None,1.036,1
4888,1000,698.2857142857143,None,1.004,1
5053,1000,561.4444444444445,None,1.016,1
5146,1000,571.7777777777778,None,1.069,1
5401,1000,600.1111111111111,None,1.035,1
5548,1000,616.4444444444445,None,0.992,1
5674,1000,630.4444444444445,None,1.012,1
5690,1000,632.2222222222222,None,1.044,1
5721,1000,635.6666666666666,None,1.007,1
5775,1000,641.6666666666666,None,1.021,1
5798,1000,644.2222222222222,None,1.052,1
5825,1000,647.2222222222222,None,1.032,1
5853,1000,650.3333333333334,None,1.028,1
5887,1000,654.1111111111111,None,1.064,1
6013,1000,668.1111111111111,None,0.996,1
6116,1000,679.5555555555555,None,0.999,1
6138,1000,682.0,None,0.989,1
6161,1000,684.5555555555555,None,0.994,1
6174,1000,686.0,None,1.004,1
6210,1000,690.0,None,1.012,1
6243,1000,693.6666666666666,None,0.982,1
6297,1000,629.7,None,1.013,1
6316,1000,631.6,None,0.994,1
6319,1000,631.9,None,1.038,1
6323,1000,632.3,None,0.991,1
6587,1000,658.7,None,1.021,1
6594,1000,659.4,None,1.009,1
6599,1000,659.9,None,0.999,1
6609,1000,660.9,None,1.037,1
6715,1000,671.5,None,1.05,1
6723,1000,672.3,None,1.039,1
6755,1000,675.5,None,1.022,1
6774,1000,677.4,None,1.015,1
6777,1000,677.7,None,1.008,1
6864,1000,686.4,None,1.012,1
6967,1000,696.7,None,1.041,1
7142,1000,714.2,None,1.034,1
7221,1000,722.1,None,1.036,1
7312,1000,731.2,None,1.018,1
7629,1000,762.9,None,0.982,1
7740,1000,774.0,None,1.018,1
7797,1000,779.7,None,1.017,1
7806,1000,780.6,None,1.041,1
7823,1000,782.3,None,1.044,1
7877,1000,787.7,None,1.022,1
7912,1000,791.2,None,1.028,1
8048,1000,804.8,None,1.007,1
8071,1000,807.1,None,1.029,1
8114,1000,811.4,None,1.005,1
8192,1000,819.2,None,1.033,1
8243,1000,824.3,None,1.037,1
8251,1000,825.1,None,1.043,1
8336,1000,833.6,None,1.062,1
8448,1000,844.8,None,1.077,1
8454,1000,845.4,None,0.988,1
8496,1000,849.6,None,1.005,1
8558,1000,855.8,None,0.999,1
8668,1000,866.8,None,1.033,1
8846,1000,884.6,None,1.015,1
8997,1000,899.7,None,0.991,1
9025,1000,902.5,None,1.016,1
9048,1000,904.8,None,1.029,1
9162,1000,916.2,None,1.043,1
9184,1000,918.4,None,1.061,1
9200,1000,920.0,None,1.041,1
9253,1000,925.3,None,1.014,1
9351,1000,935.1,None,1.01,1
9501,1000,863.7272727272727,None,1.04,1
9650,1000,877.2727272727273,None,1.038,1
9834,1000,894.0,None,1.019,1
9951,1000,904.6363636363636,None,1.038,1
10105,1000,777.3076923076923,None,1.024,1
10148,1000,780.6153846153846,None,1.016,1
10179,1000,783.0,None,1.012,1
10232,1000,787.0769230769231,None,1.019,1
10347,1000,795.9230769230769,None,1.04,1
10591,1000,814.6923076923077,None,1.062,1
10718,1000,824.4615384615385,None,1.035,1
10933,1000,841.0,None,1.025,1
11033,1000,848.6923076923077,None,1.06,1
11098,1000,853.6923076923077,None,1.023,1
11247,1000,865.1538461538462,None,1.033,1
11332,1000,871.6923076923077,None,1.061,1
11575,1000,890.3846153846154,None,1.002,1
11656,1000,896.6153846153846,None,1.023,1
11864,1000,912.6153846153846,None,1.02,1
12170,1000,936.1538461538462,None,1.005,1
12291,1000,945.4615384615385,None,1.035,1
12303,1000,946.3846153846154,None,1.014,1
12451,1000,957.7692307692307,None,1.019,1
12483,1000,960.2307692307693,None,1.011,1
13329,1000,952.0714285714286,None,1.028,1
13424,1000,958.8571428571429,None,1.041,1
13429,1000,959.2142857142857,None,1.039,1
13475,1000,962.5,None,0.999,1
13530,1000,966.4285714285714,None,1.042,1
13686,1000,977.5714285714286,None,1.033,1
13862,1000,990.1428571428571,None,1.02,1
